code_set,code
ExternalAcceptedReason1Code,ADEA
ExternalAcceptedReason1Code,NSTP
ExternalAcceptedReason1Code,SMPG
ExternalAccountIdentification1Code,AIIN
ExternalAccountIdentification1Code,BBAN
ExternalAccountIdentification1Code,CUID
ExternalAccountIdentification1Code,UPIC
ExternalAgentInstruction1Code,CHQB
ExternalAgentInstruction1Code,HOLD
ExternalAgentInstruction1Code,INQR
ExternalAgentInstruction1Code,PBEN
ExternalAgentInstruction1Code,PHOA
ExternalAgentInstruction1Code,PHOB
ExternalAgentInstruction1Code,TELA
ExternalAgentInstruction1Code,TELB
ExternalAgentInstruction1Code,TFRO
ExternalAgentInstruction1Code,TTIL
ExternalAgreementType1Code,AUSL
ExternalAgreementType1Code,BIAG
ExternalAgreementType1Code,CARA
ExternalAgreementType1Code,CDEA
ExternalAgreementType1Code,CHMA
ExternalAgreementType1Code,CHRA
ExternalAgreementType1Code,CMOP
ExternalAgreementType1Code,CNBR
ExternalAgreementType1Code,CSDA
ExternalAgreementType1Code,DEMA
ExternalAgreementType1Code,DERD
ExternalAgreementType1Code,DERP
ExternalAgreementType1Code,DERV
ExternalAgreementType1Code,EFMA
ExternalAgreementType1Code,ESRA
ExternalAgreementType1Code,EUMA
ExternalAgreementType1Code,FMAT
ExternalAgreementType1Code,FPCA
ExternalAgreementType1Code,FRFB
ExternalAgreementType1Code,GESL
ExternalAgreementType1Code,GMRA
ExternalAgreementType1Code,GMSL
ExternalAgreementType1Code,IDMA
ExternalAgreementType1Code,ISDA
ExternalAgreementType1Code,JPBL
ExternalAgreementType1Code,JPBR
ExternalAgreementType1Code,JPSL
ExternalAgreementType1Code,KRRA
ExternalAgreementType1Code,KRSL
ExternalAgreementType1Code,MEFI
ExternalAgreementType1Code,MRAA
ExternalAgreementType1Code,MSLA
ExternalAgreementType1Code,OSLA
ExternalAgreementType1Code,OTHR
ExternalAuthenticationChannel1Code,ATMA
ExternalAuthenticationChannel1Code,CARD
ExternalAuthenticationChannel1Code,INBA
ExternalAuthenticationChannel1Code,MOBI
ExternalAuthenticationMethod1Code,ACSN
ExternalAuthenticationMethod1Code,ADDB
ExternalAuthenticationMethod1Code,ADDS
ExternalAuthenticationMethod1Code,APKI
ExternalAuthenticationMethod1Code,ARNB
ExternalAuthenticationMethod1Code,ARPC
ExternalAuthenticationMethod1Code,ARQC
ExternalAuthenticationMethod1Code,ATCC
ExternalAuthenticationMethod1Code,BIOM
ExternalAuthenticationMethod1Code,BTHD
ExternalAuthenticationMethod1Code,CDCM
ExternalAuthenticationMethod1Code,CDHI
ExternalAuthenticationMethod1Code,CHDN
ExternalAuthenticationMethod1Code,CHSA
ExternalAuthenticationMethod1Code,CHSN
ExternalAuthenticationMethod1Code,CPSG
ExternalAuthenticationMethod1Code,CSCV
ExternalAuthenticationMethod1Code,CSEC
ExternalAuthenticationMethod1Code,CUID
ExternalAuthenticationMethod1Code,DRID
ExternalAuthenticationMethod1Code,DRVI
ExternalAuthenticationMethod1Code,EMAL
ExternalAuthenticationMethod1Code,EMIN
ExternalAuthenticationMethod1Code,EMRN
ExternalAuthenticationMethod1Code,FBIG
ExternalAuthenticationMethod1Code,FBIO
ExternalAuthenticationMethod1Code,FCPN
ExternalAuthenticationMethod1Code,FPIN
ExternalAuthenticationMethod1Code,IDCN
ExternalAuthenticationMethod1Code,MANU
ExternalAuthenticationMethod1Code,MOBL
ExternalAuthenticationMethod1Code,NBIG
ExternalAuthenticationMethod1Code,NPIN
ExternalAuthenticationMethod1Code,NTID
ExternalAuthenticationMethod1Code,NVSC
ExternalAuthenticationMethod1Code,OCHI
ExternalAuthenticationMethod1Code,OFPE
ExternalAuthenticationMethod1Code,OLDA
ExternalAuthenticationMethod1Code,OLDS
ExternalAuthenticationMethod1Code,OTHN
ExternalAuthenticationMethod1Code,OTHP
ExternalAuthenticationMethod1Code,OTPW
ExternalAuthenticationMethod1Code,PASS
ExternalAuthenticationMethod1Code,PCDV
ExternalAuthenticationMethod1Code,PHOM
ExternalAuthenticationMethod1Code,PHNB
ExternalAuthenticationMethod1Code,PKIS
ExternalAuthenticationMethod1Code,PLOB
ExternalAuthenticationMethod1Code,PPSG
ExternalAuthenticationMethod1Code,PRXY
ExternalAuthenticationMethod1Code,PSCD
ExternalAuthenticationMethod1Code,PSVE
ExternalAuthenticationMethod1Code,PSWD
ExternalAuthenticationMethod1Code,PWOR
ExternalAuthenticationMethod1Code,QWAC
ExternalAuthenticationMethod1Code,SCNL
ExternalAuthenticationMethod1Code,SCRT
ExternalAuthenticationMethod1Code,SHAF
ExternalAuthenticationMethod1Code,SHAT
ExternalAuthenticationMethod1Code,SSYN
ExternalAuthenticationMethod1Code,THDS
ExternalAuthenticationMethod1Code,AUVA
ExternalAuthenticationMethod1Code,TAVV
ExternalAuthenticationMethod1Code,TXID
ExternalAuthenticationMethod1Code,LAWE
ExternalAuthenticationMethod1Code,MILI
ExternalAuthenticationMethod1Code,TRVL
ExternalAuthenticationMethod1Code,CPNY
ExternalAuthorityExchangeReason1Code,ADHR
ExternalAuthorityExchangeReason1Code,CABB
ExternalAuthorityExchangeReason1Code,CABC
ExternalAuthorityExchangeReason1Code,CABT
ExternalAuthorityExchangeReason1Code,CADB
ExternalAuthorityExchangeReason1Code,CADU
ExternalAuthorityExchangeReason1Code,CAEB
ExternalAuthorityExchangeReason1Code,CAFI
ExternalAuthorityExchangeReason1Code,CAIX
ExternalAuthorityExchangeReason1Code,CAMB
ExternalAuthorityExchangeReason1Code,CASB
ExternalAuthorityExchangeReason1Code,CAST
ExternalAuthorityExchangeReason1Code,CATV
ExternalAuthorityIdentification1Code,AUAS
ExternalAuthorityIdentification1Code,ATFM
ExternalAuthorityIdentification1Code,BEFS
ExternalAuthorityIdentification1Code,BENB
ExternalAuthorityIdentification1Code,BGFS
ExternalAuthorityIdentification1Code,CACS
ExternalAuthorityIdentification1Code,CYAS
ExternalAuthorityIdentification1Code,CYCB
ExternalAuthorityIdentification1Code,CYCY
ExternalAuthorityIdentification1Code,CZCN
ExternalAuthorityIdentification1Code,DEBA
ExternalAuthorityIdentification1Code,DKFI
ExternalAuthorityIdentification1Code,EEEF
ExternalAuthorityIdentification1Code,EUES
ExternalAuthorityIdentification1Code,ESBD
ExternalAuthorityIdentification1Code,ESCN
ExternalAuthorityIdentification1Code,FIFS
ExternalAuthorityIdentification1Code,FRAC
ExternalAuthorityIdentification1Code,FRAM
ExternalAuthorityIdentification1Code,GBFS
ExternalAuthorityIdentification1Code,GBFC
ExternalAuthorityIdentification1Code,GBPR
ExternalAuthorityIdentification1Code,GIFS
ExternalAuthorityIdentification1Code,USCF
ExternalAuthorityIdentification1Code,GRBO
ExternalAuthorityIdentification1Code,GRHC
ExternalAuthorityIdentification1Code,HRHA
ExternalAuthorityIdentification1Code,HUPS
ExternalAuthorityIdentification1Code,IECB
ExternalAuthorityIdentification1Code,ISFM
ExternalAuthorityIdentification1Code,ITBD
ExternalAuthorityIdentification1Code,ITCO
ExternalAuthorityIdentification1Code,LIFM
ExternalAuthorityIdentification1Code,LTLS
ExternalAuthorityIdentification1Code,LUCS
ExternalAuthorityIdentification1Code,LVFK
ExternalAuthorityIdentification1Code,MTMF
ExternalAuthorityIdentification1Code,NLAF
ExternalAuthorityIdentification1Code,NLDN
ExternalAuthorityIdentification1Code,NOFI
ExternalAuthorityIdentification1Code,PLKN
ExternalAuthorityIdentification1Code,PTBP
ExternalAuthorityIdentification1Code,PTCM
ExternalAuthorityIdentification1Code,ROAS
ExternalAuthorityIdentification1Code,SEFI
ExternalAuthorityIdentification1Code,SIAT
ExternalAuthorityIdentification1Code,SKNB
ExternalBalanceSubType1Code,ADJT
